,15/SP,16/SP,17/SP,18/SP,19/SP,20/SP,21/SP,22/SP,23/SP,24/SP,Grand Total
Africana Studies,4,2,2,4,2,1,1,,2,1,19
American Studies,,,,1,2,1,1,1,,,6
Anthropology,7,8,9,11,8,12,7,7,11,12,92
Art History,3,2,,,1,4,2,1,,,13
Asian Studies,1,3,1,3,1,,,,,,9
Astronomy,,,1,,1,1,,,,1,4
Astrophysics,,1,3,2,3,3,2,1,2,4,21
Bioengineering/ Biomedical Engineering,1,,1,,1,,,2,2,3,10
Biology,11,11,8,6,7,5,5,4,5,5,67
Chemistry,4,8,7,6,2,8,10,4,10,10,69
Chinese,3,2,,4,4,4,5,3,3,2,30
Classical Civilization,13,13,24,20,10,9,9,5,8,15,126
Computer Engineering,1,1,,,,,,,,,2
Computer Science,6,7,7,6,4,4,5,2,2,6,49
Dance,16,20,20,19,22,21,23,20,14,13,188
Data Analytics,,,,,,3,5,12,19,19,58
Digital Media,4,1,1,3,2,4,4,3,4,5,31
Economics,13,6,7,6,16,15,10,14,10,9,106
Electrical Engineering,2,7,7,8,4,1,5,8,7,4,53
Energy Studies,1,3,,,1,2,3,2,1,,13
English,12,10,6,6,10,12,16,12,13,12,109
Environmental Engineering,4,3,2,1,1,2,2,5,6,3,29
Environmental Science & Policy,7,14,11,15,9,11,9,17,11,15,119
Environmental Studies,,,,1,,,,,,,1
Film Studies,2,2,5,3,3,4,3,7,7,2,43
Financial & Actuarial Mathematics,,,,,,,,,,3,3
French,12,17,13,8,10,10,10,12,16,12,123
"Gender, Sexuality & Women Studies",3,2,4,5,4,5,8,8,4,7,50
Geology/ Geosciences,,,1,2,3,3,5,3,1,,18
German Studies,2,2,5,4,1,4,4,5,5,4,36
Global & Popular Music,,,,,,,,,,2,2
History,12,13,10,9,6,12,9,10,6,11,98
Japanese,,3,5,7,7,8,5,6,3,4,48
Jewish Studies,2,3,4,4,2,1,1,,1,1,19
Latin,2,1,2,1,,,,,1,1,8
Latin American & Caribbean Studies,2,4,6,2,2,1,1,,3,2,23
Law & Humanities,3,2,1,5,7,16,16,12,8,8,78
Mathematics,20,13,8,15,15,17,10,13,9,15,135
Mechanical Engineering,1,1,,1,1,1,,,4,3,12
Music,4,2,2,2,5,6,4,7,6,2,40
Music Technology,,,,,,,,,3,4,7
Nanotechnology,,,,,1,2,1,1,2,1,8
Neuroscience,1,4,5,2,2,2,,2,2,1,21
Philosophy,5,6,7,,2,4,6,6,9,5,50
Physics,,,,,,1,,1,1,1,4
Political Science,13,10,14,14,11,11,16,10,9,7,115
Psychology,26,28,30,23,23,21,26,22,26,34,259
Public History,1,1,1,1,,,,,1,,5
Religious Studies,8,4,1,1,2,2,2,2,,3,25
Russian,3,2,1,3,3,1,3,3,1,2,22
"Science, Medicine, & Tech in Culture",,,,,3,3,6,7,6,2,27
"Science, Technology, & Society",,,,,,,,,1,4,5
Seward Organizing Theme,6,10,7,10,8,19,14,8,16,23,121
Sociology,10,15,10,8,12,8,14,14,15,17,123
Spanish,27,26,28,25,27,28,28,24,18,21,252
Statistics,,,,,,,6,5,5,4,32
Studio Fine Arts,9,15,6,3,13,15,9,8,7,5,90
Theater,,1,1,6,4,7,1,4,3,10,37
Visual Arts,,1,4,14,7,3,1,,1,,31
World Musics & Cultures,,,,,,2,2,,1,1,6
Grand Total ,287,315,301,300,301,346,335,323,331,361,3200
,,,,,,,,,,,
,,,,,,,,,,,
